title,description,severity
Clean up user selection SQL,Clean up user selection SQL,Medium
Typo in error message,Typo in error message,Low
If logged out $user->can_bless gives: Not an ARRAY reference at Bugzilla/User.pm line 643,If logged out $user->can_bless gives: Not an ARRAY reference at Bugzilla/User.pm line 643,Medium
cookies are incorrectly detainted when logging out,cookies are incorrectly detainted when logging out,Low
DERIVE_GROUPS_TABLES_ALREADY_LOCKED is ignored on 2.20+ when creating a new user object,DERIVE_GROUPS_TABLES_ALREADY_LOCKED is ignored on 2.20+ when creating a new user object,Critical
Logging in with 'Remember my Login' deselected gives: Use of uninitialized value in string eq at Bugzilla/Auth/Login/WWW/CGI.pm line 83,Logging in with 'Remember my Login' deselected gives: Use of uninitialized value in string eq at Bugzilla/Auth/Login/WWW/CGI.pm line 83,Medium
cannot export local attachments,cannot export local attachments,Medium
PostgreSQL seems to incorrectly detect control characters... or clean_text() incorrectly fixes them,PostgreSQL seems to incorrectly detect control characters... or clean_text() incorrectly fixes them,Medium
[PostgreSQL] sanitycheck.cgi?createmissinggroupcontrolmapentries=1 fails,[PostgreSQL] sanitycheck.cgi?createmissinggroupcontrolmapentries=1 fails,Medium
trivial UI changes for 2.20 (Selenium compat),trivial UI changes for 2.20 (Selenium compat),Low
"""Invalid Column Name"" when exportign bug list to CVS","""Invalid Column Name"" when exportign bug list to CVS",Medium
deleting a group incorrectly checks for user group membership (miss group inheritance),deleting a group incorrectly checks for user group membership (miss group inheritance),Medium
deleting a group doesn't remove entries in group_group_map correctly,deleting a group doesn't remove entries in group_group_map correctly,Medium
admin/classifications/select.html.tmpl has a link pointing to itself,admin/classifications/select.html.tmpl has a link pointing to itself,Low
New charts feature crashes,New charts feature crashes,High
"""Mail Transport Config"" is a confusing name for a params section","""Mail Transport Config"" is a confusing name for a params section",Medium
Remove whitespaces from the 'Long Format' button,Remove whitespaces from the 'Long Format' button,Low
"When an event is scheduled at midnight of a given day of the month, one email is sent *each* hour of that day","When an event is scheduled at midnight of a given day of the month, one email is sent *each* hour of that day",Medium
"In editparams.cgi, radio button and checkbox descriptions should be enclosed in <label></label> tags","In editparams.cgi, radio button and checkbox descriptions should be enclosed in <label></label> tags",Low
